outdoor_img_8.raw,"['dark', 0.10599994659423828, True]"
outdoor_img_9.raw,"['dark', 0.014811038970947266, True]"
outdoor_img_6.raw,"['dark', 0.06855201721191406, True]"
outdoor_img_7.raw,"['dark', 0.022851943969726562, True]"
outdoor_img_4.raw,"['dark', 0.014889955520629883, True]"
outdoor_img_5.raw,"['dark', 0.025825023651123047, False]"
outdoor_img_2.raw,"['dark', 0.021888017654418945, True]"
outdoor_img_3.raw,"['dark', 0.10885119438171387, True]"
indoor_patio_1.raw,"['dark', 0.14290499687194824, False]"
outdoor_img_12.raw,"['dark', 0.025150060653686523, True]"
outdoor_img_10.raw,"['dark', 0.022929906845092773, True]"
outdoor_img_11.raw,"['dark', 0.10898900032043457, True]"
outdoor_patio_2.raw,"['dark', 0.23347711563110352, False]"
outdoor_patio_1.raw,"['dark', 0.09328794479370117, False]"
outdoor_img_1.raw,"['dark', 0.21416020393371582, True]"
outdoor_patio_3.raw,"['dark', 0.15516281127929688, False]"
outdoor_patio_4.raw,"['dark', 0.02219104766845703, True]"
outdoor_img_13.raw,"['dark', 0.08711600303649902, False]"
outdoor_img_14.raw,"['dark', 0.05244612693786621, False]"
outdoor_img_15.raw,"['dark', 0.09108519554138184, False]"
