outdoor_img_8.raw,"['dark', 0.1662449836730957, True]"
outdoor_img_9.raw,"['dark', 0.024479150772094727, True]"
outdoor_img_6.raw,"['dark', 0.1044778823852539, True]"
outdoor_img_7.raw,"['dark', 0.03722214698791504, True]"
outdoor_img_4.raw,"['dark', 0.024383068084716797, True]"
outdoor_img_5.raw,"['dark', 0.03705310821533203, False]"
outdoor_img_2.raw,"['dark', 0.03712320327758789, True]"
outdoor_img_3.raw,"['dark', 0.1652679443359375, True]"
indoor_patio_1.raw,"['light', 0.20280218124389648, True]"
outdoor_img_12.raw,"['dark', 0.041114091873168945, True]"
outdoor_img_10.raw,"['dark', 0.03731513023376465, True]"
outdoor_img_11.raw,"['dark', 0.16424012184143066, True]"
outdoor_patio_2.raw,"['dark', 0.3535149097442627, False]"
outdoor_patio_1.raw,"['light', 0.12656688690185547, True]"
outdoor_img_1.raw,"['dark', 0.3207569122314453, True]"
outdoor_patio_3.raw,"['dark', 0.24202990531921387, False]"
outdoor_patio_4.raw,"['dark', 0.0363309383392334, True]"
outdoor_img_13.raw,"['light', 0.12324094772338867, True]"
outdoor_img_14.raw,"['light', 0.07587504386901855, True]"
outdoor_img_15.raw,"['light', 0.11948013305664062, True]"
